[2023-10-30 14:48:32,385] INFO - build_posterior_wrapper took 0.001702 seconds
[2023-10-30 14:48:32,385] INFO - TPE using 77/77 trials with best loss -1.000000
[2023-10-30 14:48:33,752] INFO - build_posterior_wrapper took 0.001686 seconds
[2023-10-30 14:48:33,752] INFO - TPE using 78/78 trials with best loss -1.000000
[2023-10-30 14:48:39,863] INFO - build_posterior_wrapper took 0.001680 seconds
[2023-10-30 14:48:39,863] INFO - TPE using 79/79 trials with best loss -1.000000
[2023-10-30 14:48:41,286] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:48:41,286] INFO - TPE using 80/80 trials with best loss -1.000000
[2023-10-30 14:48:42,830] INFO - build_posterior_wrapper took 0.001671 seconds
[2023-10-30 14:48:42,830] INFO - TPE using 81/81 trials with best loss -1.000000
[2023-10-30 14:48:44,367] INFO - build_posterior_wrapper took 0.001665 seconds
[2023-10-30 14:48:44,367] INFO - TPE using 82/82 trials with best loss -1.000000
[2023-10-30 14:48:44,501] INFO - build_posterior_wrapper took 0.001715 seconds
[2023-10-30 14:48:44,502] INFO - TPE using 83/83 trials with best loss -1.000000
[2023-10-30 14:48:45,934] INFO - build_posterior_wrapper took 0.001660 seconds
[2023-10-30 14:48:45,934] INFO - TPE using 84/84 trials with best loss -1.000000
[2023-10-30 14:48:50,416] INFO - build_posterior_wrapper took 0.001805 seconds
[2023-10-30 14:48:50,417] INFO - TPE using 85/85 trials with best loss -1.000000
[2023-10-30 14:48:51,864] INFO - build_posterior_wrapper took 0.001684 seconds
[2023-10-30 14:48:51,864] INFO - TPE using 86/86 trials with best loss -1.000000
[2023-10-30 14:48:53,282] INFO - build_posterior_wrapper took 0.001662 seconds
[2023-10-30 14:48:53,282] INFO - TPE using 87/87 trials with best loss -1.000000
[2023-10-30 14:48:53,331] INFO - build_posterior_wrapper took 0.001688 seconds
[2023-10-30 14:48:53,331] INFO - TPE using 88/88 trials with best loss -1.000000
[2023-10-30 14:48:54,897] INFO - build_posterior_wrapper took 0.001720 seconds
[2023-10-30 14:48:54,897] INFO - TPE using 89/89 trials with best loss -1.000000
[2023-10-30 14:49:00,879] INFO - build_posterior_wrapper took 0.001663 seconds
[2023-10-30 14:49:00,880] INFO - TPE using 90/90 trials with best loss -1.000000
[2023-10-30 14:49:03,809] INFO - build_posterior_wrapper took 0.001753 seconds
[2023-10-30 14:49:03,809] INFO - TPE using 91/91 trials with best loss -1.000000
[2023-10-30 14:49:08,145] INFO - build_posterior_wrapper took 0.001808 seconds
[2023-10-30 14:49:08,145] INFO - TPE using 92/92 trials with best loss -1.000000
[2023-10-30 14:49:08,842] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:49:08,843] INFO - TPE using 93/93 trials with best loss -1.000000
[2023-10-30 14:49:13,296] INFO - build_posterior_wrapper took 0.001684 seconds
[2023-10-30 14:49:13,296] INFO - TPE using 94/94 trials with best loss -1.000000
[2023-10-30 14:49:16,238] INFO - build_posterior_wrapper took 0.001766 seconds
[2023-10-30 14:49:16,238] INFO - TPE using 95/95 trials with best loss -1.000000
[2023-10-30 14:49:20,819] INFO - build_posterior_wrapper took 0.001755 seconds
[2023-10-30 14:49:20,819] INFO - TPE using 96/96 trials with best loss -1.000000
[2023-10-30 14:49:21,415] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:49:21,415] INFO - TPE using 97/97 trials with best loss -1.000000
[2023-10-30 14:49:27,365] INFO - build_posterior_wrapper took 0.001721 seconds
[2023-10-30 14:49:27,365] INFO - TPE using 98/98 trials with best loss -1.000000
[2023-10-30 14:49:31,417] INFO - build_posterior_wrapper took 0.001715 seconds
[2023-10-30 14:49:31,417] INFO - TPE using 99/99 trials with best loss -1.000000
[2023-10-30 14:49:34,359] INFO - build_posterior_wrapper took 0.001686 seconds
[2023-10-30 14:49:34,359] INFO - TPE using 100/100 trials with best loss -1.000000
[2023-10-30 14:49:40,572] INFO - build_posterior_wrapper took 0.001735 seconds
[2023-10-30 14:49:40,572] INFO - TPE using 101/101 trials with best loss -1.000000
[2023-10-30 14:49:40,621] INFO - build_posterior_wrapper took 0.001679 seconds
[2023-10-30 14:49:40,621] INFO - TPE using 102/102 trials with best loss -1.000000
[2023-10-30 14:49:46,735] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:49:46,736] INFO - TPE using 103/103 trials with best loss -1.000000
[2023-10-30 14:49:46,869] INFO - build_posterior_wrapper took 0.001691 seconds
[2023-10-30 14:49:46,870] INFO - TPE using 104/104 trials with best loss -1.000000
[2023-10-30 14:49:50,781] INFO - build_posterior_wrapper took 0.001799 seconds
[2023-10-30 14:49:50,782] INFO - TPE using 105/105 trials with best loss -1.000000
[2023-10-30 14:49:59,705] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:49:59,705] INFO - TPE using 106/106 trials with best loss -1.000000
[2023-10-30 14:49:59,754] INFO - build_posterior_wrapper took 0.001721 seconds
[2023-10-30 14:49:59,754] INFO - TPE using 107/107 trials with best loss -1.000000
[2023-10-30 14:50:04,555] INFO - build_posterior_wrapper took 0.001668 seconds
[2023-10-30 14:50:04,555] INFO - TPE using 108/108 trials with best loss -1.000000
[2023-10-30 14:50:06,125] INFO - build_posterior_wrapper took 0.001672 seconds
[2023-10-30 14:50:06,125] INFO - TPE using 109/109 trials with best loss -1.000000
[2023-10-30 14:50:06,922] INFO - build_posterior_wrapper took 0.001677 seconds
[2023-10-30 14:50:06,922] INFO - TPE using 110/110 trials with best loss -1.000000
[2023-10-30 14:50:09,901] INFO - build_posterior_wrapper took 0.001798 seconds
[2023-10-30 14:50:09,901] INFO - TPE using 111/111 trials with best loss -1.000000
[2023-10-30 14:50:11,585] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:50:11,586] INFO - TPE using 112/112 trials with best loss -1.000000
[2023-10-30 14:50:11,721] INFO - build_posterior_wrapper took 0.001807 seconds
[2023-10-30 14:50:11,721] INFO - TPE using 113/113 trials with best loss -1.000000
[2023-10-30 14:50:12,111] INFO - build_posterior_wrapper took 0.001767 seconds
[2023-10-30 14:50:12,111] INFO - TPE using 114/114 trials with best loss -1.000000
[2023-10-30 14:50:13,484] INFO - build_posterior_wrapper took 0.001743 seconds
[2023-10-30 14:50:13,484] INFO - TPE using 115/115 trials with best loss -1.000000
[2023-10-30 14:50:14,998] INFO - build_posterior_wrapper took 0.001690 seconds
[2023-10-30 14:50:14,998] INFO - TPE using 116/116 trials with best loss -1.000000
[2023-10-30 14:50:16,492] INFO - build_posterior_wrapper took 0.001683 seconds
[2023-10-30 14:50:16,493] INFO - TPE using 117/117 trials with best loss -1.000000
[2023-10-30 14:50:16,656] INFO - build_posterior_wrapper took 0.001663 seconds
[2023-10-30 14:50:16,656] INFO - TPE using 118/118 trials with best loss -1.000000
[2023-10-30 14:50:16,842] INFO - build_posterior_wrapper took 0.001705 seconds
[2023-10-30 14:50:16,842] INFO - TPE using 119/119 trials with best loss -1.000000
[2023-10-30 14:50:23,021] INFO - build_posterior_wrapper took 0.001693 seconds
[2023-10-30 14:50:23,021] INFO - TPE using 120/120 trials with best loss -1.000000
[2023-10-30 14:50:24,927] INFO - build_posterior_wrapper took 0.001669 seconds
[2023-10-30 14:50:24,927] INFO - TPE using 121/121 trials with best loss -1.000000
[2023-10-30 14:50:25,325] INFO - build_posterior_wrapper took 0.001670 seconds
[2023-10-30 14:50:25,325] INFO - TPE using 122/122 trials with best loss -1.000000
[2023-10-30 14:50:26,641] INFO - build_posterior_wrapper took 0.001703 seconds
[2023-10-30 14:50:26,641] INFO - TPE using 123/123 trials with best loss -1.000000
[2023-10-30 14:50:28,196] INFO - build_posterior_wrapper took 0.001770 seconds
[2023-10-30 14:50:28,197] INFO - TPE using 124/124 trials with best loss -1.000000
[2023-10-30 14:50:28,360] INFO - build_posterior_wrapper took 0.001798 seconds
[2023-10-30 14:50:28,360] INFO - TPE using 125/125 trials with best loss -1.000000
[2023-10-30 14:50:28,553] INFO - build_posterior_wrapper took 0.001679 seconds
[2023-10-30 14:50:28,553] INFO - TPE using 126/126 trials with best loss -1.000000
[2023-10-30 14:50:34,617] INFO - build_posterior_wrapper took 0.001665 seconds
[2023-10-30 14:50:34,618] INFO - TPE using 127/127 trials with best loss -1.000000
[2023-10-30 14:50:36,440] INFO - build_posterior_wrapper took 0.001654 seconds
[2023-10-30 14:50:36,440] INFO - TPE using 128/128 trials with best loss -1.000000
[2023-10-30 14:50:38,165] INFO - build_posterior_wrapper took 0.001659 seconds
[2023-10-30 14:50:38,165] INFO - TPE using 129/129 trials with best loss -1.000000
[2023-10-30 14:50:38,490] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:50:38,490] INFO - TPE using 130/130 trials with best loss -1.000000
[2023-10-30 14:50:38,625] INFO - build_posterior_wrapper took 0.001795 seconds
[2023-10-30 14:50:38,625] INFO - TPE using 131/131 trials with best loss -1.000000
[2023-10-30 14:50:39,297] INFO - build_posterior_wrapper took 0.001645 seconds
[2023-10-30 14:50:39,297] INFO - TPE using 132/132 trials with best loss -1.000000
[2023-10-30 14:50:43,691] INFO - build_posterior_wrapper took 0.001653 seconds
